,eav_id,title,subtitle,n_rooms,n_bedrooms,n_bathrooms,useful_area,built_area,land_area,price,built_year,energy_class,energy_consumption,co2_emission,co2_emission_scale,protected,status,parking,garage,floor_cover,property_subclass,terrace_area,heating_type,location_status
912,W-02OR4G,ESPLÉNDIDA CASA EN PREMIA DE DALT,"Casa, Comprar | España, Barcelona, Maresme, PREMIÀ DE DALT",5,5,3,433 m²,433 m²,613 m²,750.000 EUR,2005,G,324 kWh/(m²*a),,E,False,Muy bien,5,5,,Casa unifamiliar,,,Muy bien
913,W-02O0GX,BONITA CASA CON MARAVILLOSAS VISTAS,"Casa, Comprar | España, Barcelona, Badalona",4,4,3,250 m²,250 m²,,750.000 EUR,1976,,,,,False,Bien,,2,,Casa unifamiliar,,,
914,W-02NQAT,UNA CASA DE DISEÑO EN PLENA NATURALEZA,"Casa, Comprar | España, Barcelona, Matadepera",3,3,3,314 m²,314 m²,1.016 m²,750.000 EUR,1995,D,104 kWh/(m²*a),27 kg/m²,D,False,Excelente,2,2,,Villa,,,Excelente
915,W-02MORA,PISO CON LICENCIA TURÍSTICA EN EL POBLENOU,"Apartamento, Comprar | España, Barcelona, SANT MARTIN, El Poblenou",3,3,2,106 m²,106 m²,,750.000 EUR,2011,B,57 kWh/(m²*a),9 kg/m²,C,False,,1,,,Apartamento,,,
916,W-02KJN0,EXCLUSIVA CASA CON TERRAZA,"Casa, Comprar | España, Barcelona, Hospitalet, Centre - Sant Josep",4,4,4,250 m²,250 m²,,750.000 EUR,2017,C,75 kWh/(m²*a),12 kg/m²,B,False,Excelente,4,4,,Casa,80 m²,,
917,W-02ILSH,AMPLIO PISO EN VENTA EN DIAGONAL MAR,"Apartamento, Comprar | España, Barcelona, SANT MARTIN, Diagonal Mar i El Front Marítim del Poblenou",3,3,2,101 m²,101 m²,,750.000 EUR,2003,D,,,,False,Excelente,1,,,Apartamento,9 m²,,Excelente
918,W-02EOLH,FANTÁSTICA PROPIEDAD EN ZONA ALTA - PEDRALBES,"Apartamento, Comprar | España, Barcelona, Pedralbes, Pedralbes",2,2,2,108 m²,108 m²,,749.700 EUR,2017,A,,,,False,Excelente,2,2,,Apartamento,19 m²,,Excelente
919,W-02PSPN,"VILADORDIS: 15.000 M2, VIVIENDA, PISCINA Y NAVES","Casa, Comprar | España, Barcelona, Bagés- Manresa, MANRESA",6,6,2,567 m²,567 m²,"1,5 ha",749.000 EUR,2000,D,111 kWh/(m²*a),18 kg/m²,C,False,Muy bien,6,6,,Casa unifamiliar,,,Excelente
920,W-02GYK3,EXCELENTE APARTAMENTO EN EL CORAZÓN DE BARCELONA,"Apartamento, Comprar | España, Barcelona, Ciutat Vella, Gòtic",2,2,2,115 m²,115 m²,,749.000 EUR,1800,C,,9 kg/m²,B,False,Excelente,,,,Apartamento,,,Excelente
921,W-02RI3Z,BONITA CASA A CERCA DE PASSEIG DE GRÀCIA,"Apartamento, Comprar | España, Barcelona, Gracia, Vila de Gracia",4,4,3,155 m²,155 m²,,745.000 EUR,1999,,,,,False,Muy bien,,,,Apartamento,15 m²,,Excelente
922,W-02R88B,ACOGEDORA MASÍA CON VISTAS PANORÁMICAS,"Casa, Comprar | España, Barcelona, Moainès, Moià",9,9,5,390 m²,390 m²,"6,5 ha",745.000 EUR,1780,E,163 kWh/(m²*a),28 kg/m²,D,False,Muy bien,2,2,,Casa de campo,,,Excelente
